City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Jamestown,US,74.52,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
8,Hilo,US,82.13,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
13,Vaini,TO,71.76,light intensity shower rain,-21.2,-175.2,Keleti Beach Resort
14,Portland,US,88.39,smoke,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
17,Maceio,BR,76.44,few clouds,-9.6658,-35.7353,Poutur Pousada
19,La Ronge,CA,73.53,few clouds,55.1001,-105.2842,Northland Motor Hotel
22,Sibolga,ID,75.33,broken clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
24,Butaritari,KI,83.44,light rain,3.0707,172.7902,Isles Sunset Lodge
27,Samarai,PG,80.02,broken clouds,-10.6167,150.6667,Nuli Sapi
28,Atuona,PF,78.3,clear sky,-9.8,-139.0333,Villa Enata
31,Ponta Do Sol,PT,72.72,clear sky,32.6667,-17.1,Hotel do Campo
32,Kapaa,US,84.18,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
36,Rikitea,PF,73.11,clear sky,-23.1203,-134.9692,People ThankYou
37,Georgetown,MY,80.89,few clouds,5.4112,100.3354,Cititel Penang
39,Angoche,MZ,73.15,few clouds,-16.2325,39.9086,Guest House HESADA
41,Arraial Do Cabo,BR,71.56,clear sky,-22.9661,-42.0278,Pousada Porto Praia
43,Saint Simons,US,83.12,clear sky,31.1352,-81.3901,"Holiday Inn Express Saint Simons Island, an IHG Hotel"
47,Bud,US,83.21,scattered clouds,39.446999999999996,-86.1758,Ted McQuinn Trust
48,Mahuva,IN,81.95,broken clouds,21.0914,71.7622,Hotel Blue Diamond.
49,Kinarut,MY,77.02,few clouds,5.8231,116.0466,Langkah Syabas Beach Resort
50,Dharchula,IN,72.36,overcast clouds,29.85,80.5333,Mahara Hotel
52,Omboue,GA,70.83,scattered clouds,-1.5746,9.2618,Hotel Olako
56,Yunhe,CN,81.32,overcast clouds,34.0833,119.7167,Subei Hotel
60,Sola,VU,84.87,broken clouds,-13.8833,167.55,Leumerus Bungalows
63,Vila Velha,BR,71.55,broken clouds,-20.3297,-40.2925,Quality Suites Vila Velha
66,Marawi,PH,77.65,scattered clouds,7.9986,124.2928,Derogongan Residence
73,Puerto Maldonado,PE,79.72,overcast clouds,-12.6,-69.1833,Wasai Hotel
74,Caravelas,BR,70.84,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
75,Dingle,PH,81.34,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
76,Puerto Ayacucho,VE,75.6,broken clouds,5.6639,-67.6236,Posada Turistica Manapiare
