City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Alice Springs,AU,-23.7,133.8833,67.55,60,75,5.75,broken clouds
1,Hermanus,ZA,-34.4187,19.2345,48.9,75,65,6.93,broken clouds
2,Saint Anthony,US,45.0205,-93.218,69.53,88,20,1.99,few clouds
3,Clyde River,CA,70.4692,-68.5914,45.66,67,10,3.02,clear sky
4,Jamestown,US,42.097,-79.2353,74.52,64,1,10.36,clear sky
5,Zhigansk,RU,66.7697,123.3711,54.16,42,1,10.6,clear sky
6,Castro,BR,-24.7911,-50.0119,56.03,62,62,3.6,broken clouds
7,Knysna,ZA,-34.0363,23.0471,46.78,54,73,4.92,broken clouds
8,Hilo,US,19.7297,-155.09,82.13,74,40,11.5,scattered clouds
9,Bluff,NZ,-46.6,168.3333,46.8,58,87,6.96,overcast clouds
10,Upernavik,GL,72.7868,-56.1549,39.79,97,100,16.91,light rain
11,Punta Arenas,CL,-53.15,-70.9167,37.51,93,90,3.44,light intensity drizzle
12,Bambous Virieux,MU,-20.3428,57.7575,66.45,82,20,4.61,few clouds
13,Vaini,TO,-21.2,-175.2,71.76,94,90,12.66,light intensity shower rain
14,Portland,US,45.5234,-122.6762,88.39,47,40,1.99,smoke
15,Chicama,PE,-7.8447,-79.1469,61.34,81,27,7.47,scattered clouds
16,Saldanha,ZA,-33.0117,17.9442,41.05,69,16,4.56,few clouds
17,Maceio,BR,-9.6658,-35.7353,76.44,83,20,3.44,few clouds
18,Pacasmayo,PE,-7.4006,-79.5714,65.28,82,50,15.03,scattered clouds
19,La Ronge,CA,55.1001,-105.2842,73.53,35,12,5.84,few clouds
20,Hobart,AU,-42.8794,147.3294,50.25,92,75,1.99,broken clouds
21,Ushuaia,AR,-54.8,-68.3,29.86,86,75,3.44,broken clouds
22,Sibolga,ID,1.7427,98.7792,75.33,81,68,3.65,broken clouds
23,Barrow,US,71.2906,-156.7887,37.42,75,75,9.22,broken clouds
24,Butaritari,KI,3.0707,172.7902,83.44,77,7,13.71,light rain
25,Lasa,IT,46.6166,10.7002,54.48,89,54,2.89,broken clouds
