City_ID,City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
5,5,Kavaratti,IN,72.642,72.642,82.17,78,100,12.91,overcast clouds
7,7,Hilo,US,-155.09,-155.09,83.28,71,90,13.8,overcast clouds
12,12,Kapaa,US,-159.319,-159.319,84.18,67,20,4.0,few clouds
13,13,Aswan,EG,32.907,32.907,80.15,19,0,12.28,clear sky
16,16,Marzuq,YE,46.4667,46.4667,78.82,39,49,5.23,scattered clouds
18,18,Atuona,PF,-139.0333,-139.0333,80.49,63,13,8.08,few clouds
20,20,Ugoofaaru,MV,73.0,73.0,82.65,77,100,16.55,overcast clouds
21,21,Xinyang,CN,114.0656,114.0656,86.22,43,100,10.58,overcast clouds
32,32,Rikitea,PF,-134.9692,-134.9692,76.39,85,100,16.15,overcast clouds
34,34,Butaritari,KI,172.7902,172.7902,83.01,72,18,8.25,few clouds
37,37,Goderich,CA,-81.7165,-81.7165,79.12,47,11,10.36,few clouds
38,38,Lahij,YE,44.5833,44.5833,82.2,66,26,2.71,scattered clouds
47,47,Albany,US,-73.9662,-73.9662,75.92,71,25,2.84,scattered clouds
53,53,Bajil,YE,43.2851,43.2851,86.25,50,16,7.52,few clouds
59,59,Yinchuan,CN,106.2731,106.2731,78.08,33,7,5.88,clear sky
77,77,Georgetown,MY,100.3354,100.3354,84.88,80,20,2.8,few clouds
78,78,Darab,IR,54.5444,54.5444,85.51,15,0,7.56,clear sky
80,80,Hasaki,JP,140.8333,140.8333,77.29,79,100,2.13,overcast clouds
83,83,Bengkulu,ID,102.2655,102.2655,80.2,76,28,1.72,scattered clouds
86,86,Port Blair,IN,92.75,92.75,85.42,73,100,13.82,light rain
90,90,Sabang,ID,95.3214,95.3214,82.89,68,100,13.49,light rain
93,93,Chiang Khong,TH,100.4046,100.4046,82.72,87,100,1.63,overcast clouds
95,95,Ban Nahin,LA,104.2122,104.2122,78.51,91,100,0.92,light rain
101,101,Kirakira,SB,161.9205,161.9205,82.0,79,32,8.1,scattered clouds
103,103,Jiangyou,CN,104.7167,104.7167,80.6,50,100,2.24,overcast clouds
104,104,Basco,PH,121.9702,121.9702,83.12,79,99,11.77,overcast clouds
112,112,Manokwari,ID,134.0833,134.0833,82.89,70,100,4.7,overcast clouds
115,115,Mogadishu,SO,45.3438,45.3438,78.66,86,66,19.19,broken clouds
120,120,Hohhot,CN,111.6522,111.6522,75.49,43,0,9.46,clear sky
122,122,Clinton,US,-82.9199,-82.9199,84.06,62,75,1.99,broken clouds
123,123,Vung Tau,VN,107.0843,107.0843,85.01,75,100,16.17,overcast clouds
127,127,Samarai,PG,150.6667,150.6667,77.36,91,100,15.32,overcast clouds
128,128,Martapura,ID,114.85,114.85,80.69,89,40,3.06,scattered clouds
129,129,Bethel,US,-73.414,-73.414,78.08,75,74,1.01,broken clouds
136,136,Buchanan,LR,-10.0467,-10.0467,75.16,88,94,6.73,light rain
137,137,Buala,SB,159.5921,159.5921,84.58,72,60,8.81,light rain
140,140,Tura,IN,90.2201,90.2201,77.92,88,46,5.44,scattered clouds
142,142,Champerico,GT,-91.9167,-91.9167,84.34,74,19,4.92,few clouds
